name	status	peak_rss_kb	wall_s	exit
lcii_persist_etalon	ran	3014328320	65.68	0
lcii_floppy_etalon	ran	3011280896	34.85	0
sonora_persist_etalon	ran	2967470080	156.48	0
lcii_savestate_etalon	ran	1585463296	33.80	0
lcii_soak_etalon	ran	1544929280	53.83	0
cclassic_boot_etalon	ran	1534607360	30.67	0
lcii_launch_etalon	ran	1534574592	35.88	0
jit_lcii_boot_etalon	ran	1531887616	30.21	0
lcii_boot_etalon	ran	1531838464	30.22	0
classic2_boot_etalon	ran	1530216448	30.15	0
mactv_boot_etalon	ran	1519632384	50.14	0
jit_mactv_boot_etalon	ran	1519632384	49.89	0
sonora_soak_etalon	ran	1498365952	182.58	0
jit_lc3_boot_etalon	ran	1497858048	71.86	0
lc3_boot_etalon	ran	1497841664	71.90	0
lc3plus_boot_etalon	ran	1497628672	92.38	0
interp_lcii_boot_etalon	ran	1495007232	65.56	0
jit_lc_boot_etalon	ran	1494925312	56.75	0
lc_boot_etalon	ran	1494908928	55.46	0
interp_lc3_boot_etalon	ran	1494401024	97.13	0
q630_persist_etalon	ran	905592832	129.66	0
centris_persist_etalon	ran	900153344	100.86	0
q605_persist_etalon	ran	898072576	87.10	0
q900_persist_etalon	ran	863535104	145.98	0
q700_persist_etalon	ran	862453760	103.36	0
q605_savestate_etalon	ran	719126528	15.90	0
q630_soak_etalon	ran	587513856	99.46	0
q950_boot_etalon	ran	587382784	86.20	0
lc580_boot_etalon	ran	586481664	9.28	0
q630_boot_etalon	ran	586186752	9.89	0
jit_q630_boot_etalon	ran	586022912	9.93	0
q900_boot_etalon	ran	583942144	77.21	0
centris_soak_etalon	ran	583335936	83.32	0
q900_input_etalon	ran	583106560	78.35	0
q700_boot_etalon	ran	583041024	47.48	0
jit_q700_boot_etalon	ran	582909952	47.54	0
centris650_boot_etalon	ran	582664192	46.94	0
jit_centris650_boot_etalon	ran	582516736	47.77	0
quadra650_boot_etalon	ran	582467584	59.29	0
centris610_boot_etalon	ran	582172672	38.94	0
quadra800_boot_etalon	ran	581173248	55.16	0
quadra610_boot_etalon	ran	580861952	46.59	0
q605_soak_etalon	ran	579862528	47.66	0
q605_cudalle_key_etalon	ran	579043328	39.01	0
q605_cudalle_mouse_etalon	ran	578682880	39.86	0
iivx_persist_etalon	ran	554745856	190.26	0
iifx_persist_etalon	ran	553140224	15.03	0
iisi_persist_etalon	ran	552828928	99.94	0
jit_q605_boot_etalon	ran	544636928	6.96	0
q605_boot_etalon	ran	544620544	6.93	0
q605_cudalle_boot_etalon	ran	544604160	6.96	0
q605_nofpu_boot_etalon	ran	544276480	6.95	0
lc475_boot_etalon	ran	544161792	6.95	0
q605_barefpu_boot_etalon	ran	543653888	6.86	0
lc575_boot_etalon	ran	542556160	6.85	0
q900_soak_etalon	ran	539328512	109.07	0
q700_soak_etalon	ran	538148864	85.67	0
q605_ot_bind_etalon	ran	469172224	4.92	0
