ASSET rom    "roms/512KB ROMs/1992-03 - 35C28F5F - Mac LC II.ROM" 524288 B sha256 18c3de07ca15cf66dfbaa5984aca34b48a2d7b4d0d8c7656f79533899ccec0a0
ASSET disk   "hdv/ref/GISTPERSO-boot.vhd" 262193152 B sha256 73bf9d2e5db2c2f538d43933fb38ed1880ab2f2111cee5c7fec7c7468f0f7a5b  HFS "GIST PERSO" drVolAtrb $0100 clean
boot: Finder up, SCSI 1751 commands
  [speedo] frames=30     shape=0.086/0.068/0.104
  [speedo] frames=60     shape=0.086/0.068/0.104
  [speedo] frames=90     shape=0.086/0.068/0.104
  [speedo] frames=120    shape=0.086/0.068/0.104
  [speedo] frames=150    shape=0.086/0.068/0.104
  [speedo] frames=180    shape=0.086/0.068/0.104
  [speedo] frames=210    shape=0.086/0.068/0.104
  [speedo] frames=240    shape=0.086/0.068/0.104
  [speedo] frames=270    shape=0.086/0.068/0.104
  [speedo] frames=300    shape=0.086/0.068/0.104
  [speedo] frames=330    shape=0.086/0.068/0.104
  [speedo] frames=360    shape=0.086/0.068/0.104
  [speedo] frames=390    shape=0.086/0.068/0.104
  [speedo] frames=420    shape=0.086/0.068/0.104
  [speedo] frames=450    shape=0.086/0.068/0.104
  [speedo] frames=480    shape=0.086/0.068/0.104
  [speedo] frames=510    shape=0.086/0.068/0.104
  [speedo] frames=540    shape=0.086/0.068/0.104
  [speedo] frames=570    shape=0.086/0.068/0.104
  [speedo] frames=600    shape=0.086/0.068/0.104
  [speedo] frames=630    shape=0.086/0.068/0.104
  [speedo] frames=660    shape=0.086/0.068/0.104
  [speedo] frames=690    shape=0.086/0.068/0.104
  [speedo] frames=720    shape=0.086/0.068/0.104
  [speedo] frames=750    shape=0.086/0.068/0.104
  [speedo] frames=780    shape=0.086/0.068/0.104
  [speedo] frames=810    shape=0.086/0.068/0.104
  [speedo] frames=840    shape=0.086/0.068/0.104
  [speedo] frames=870    shape=0.086/0.068/0.104
  [speedo] frames=900    shape=0.086/0.068/0.104
  [speedo] frames=930    shape=0.086/0.068/0.104
  [speedo] frames=960    shape=0.086/0.068/0.104
  [speedo] frames=990    shape=0.086/0.068/0.104
  [speedo] frames=1020   shape=0.086/0.068/0.104
  [speedo] frames=1050   shape=0.086/0.068/0.104
  [speedo] frames=1080   shape=0.086/0.068/0.104
  [speedo] frames=1110   shape=0.086/0.068/0.104
  [speedo] frames=1140   shape=0.086/0.068/0.104
  [speedo] frames=1170   shape=0.086/0.068/0.104
  [speedo] frames=1200   shape=0.086/0.068/0.104
  [speedo] frames=1230   shape=0.086/0.068/0.104
  [speedo] frames=1260   shape=0.086/0.068/0.104
  [speedo] frames=1290   shape=0.086/0.068/0.104
  [speedo] frames=1320   shape=0.086/0.068/0.104
  [speedo] frames=1350   shape=0.086/0.068/0.104
  [speedo] frames=1380   shape=0.086/0.068/0.104
  [speedo] frames=1410   shape=0.086/0.068/0.104
  [speedo] frames=1440   shape=0.086/0.068/0.104
  [speedo] frames=1470   shape=0.086/0.068/0.104
  [speedo] frames=1500   shape=0.086/0.068/0.104
  [speedo] frames=1530   shape=0.086/0.068/0.104
  [speedo] frames=1560   shape=0.086/0.068/0.104
  [speedo] frames=1590   shape=0.086/0.068/0.104
  [speedo] frames=1620   shape=0.086/0.068/0.104
  [speedo] frames=1650   shape=0.086/0.068/0.104
  [speedo] frames=1680   shape=0.086/0.068/0.104
  [speedo] frames=1710   shape=0.086/0.068/0.104
  [speedo] frames=1740   shape=0.086/0.068/0.104
  [speedo] frames=1770   shape=0.086/0.068/0.104
  [speedo] frames=1800   shape=0.086/0.068/0.104
  [speedo] frames=1830   shape=0.086/0.068/0.104
  [speedo] frames=1860   shape=0.086/0.068/0.104
  [speedo] frames=1890   shape=0.086/0.068/0.104
  [speedo] frames=1920   shape=0.086/0.068/0.104
  [speedo] frames=1950   shape=0.086/0.068/0.104
  [speedo] frames=1980   shape=0.086/0.068/0.104
  [speedo] frames=2010   shape=0.086/0.068/0.104
  [speedo] frames=2040   shape=0.086/0.068/0.104
  [speedo] frames=2070   shape=0.086/0.068/0.104
  [speedo] frames=2100   shape=0.086/0.068/0.104
  [speedo] frames=2130   shape=0.086/0.068/0.104
  [speedo] frames=2160   shape=0.086/0.068/0.104
  [speedo] frames=2190   shape=0.086/0.068/0.104
  [speedo] frames=2220   shape=0.086/0.068/0.104
  [speedo] frames=2250   shape=0.086/0.068/0.104
  [speedo] frames=2280   shape=0.086/0.068/0.104
  [speedo] frames=2310   shape=0.086/0.068/0.104
  [speedo] frames=2340   shape=0.086/0.068/0.104
  [speedo] frames=2370   shape=0.086/0.068/0.104
  [speedo] frames=2400   shape=0.086/0.068/0.104
  [speedo] frames=2430   shape=0.086/0.068/0.104
  [speedo] frames=2460   shape=0.086/0.068/0.104
  [speedo] frames=2490   shape=0.086/0.068/0.104
  [speedo] frames=2520   shape=0.086/0.068/0.104
  [speedo] frames=2550   shape=0.086/0.068/0.104
  [speedo] frames=2580   shape=0.086/0.068/0.104
  [speedo] frames=2610   shape=0.086/0.068/0.104
  [speedo] frames=2640   shape=0.086/0.068/0.104
  [speedo] frames=2670   shape=0.086/0.068/0.104
  [speedo] frames=2700   shape=0.086/0.068/0.104
  [speedo] frames=2730   shape=0.086/0.068/0.104
  [speedo] frames=2760   shape=0.086/0.068/0.104
  [speedo] frames=2790   shape=0.086/0.068/0.104
  [speedo] frames=2820   shape=0.086/0.068/0.104
  [speedo] frames=2850   shape=0.086/0.068/0.104
  [speedo] frames=2880   shape=0.086/0.068/0.104
  [speedo] frames=2910   shape=0.086/0.068/0.104
  [speedo] frames=2940   shape=0.086/0.068/0.104
