Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AdbBus.cpp                                    61                61     0.00%           6                 6     0.00%          66                66     0.00%          42                42     0.00%
AdbBus.h                                      12                12     0.00%           6                 6     0.00%           8                 8     0.00%          10                10     0.00%
AdbLine.cpp                                  309               307     0.65%          13                11    15.38%         312               296     5.13%         306               306     0.00%
AdbLine.h                                     23                18    21.74%          16                15     6.25%          28                22    21.43%           8                 6    25.00%
AdbVia.cpp                                   174               164     5.75%          17                13    23.53%         243               174    28.40%         132               128     3.03%
AdbVia.h                                       8                 6    25.00%           7                 5    28.57%          28                19    32.14%           0                 0         -
AfpServer.cpp                                779               779     0.00%          38                38     0.00%         991               991     0.00%         716               716     0.00%
AfpServer.h                                    3                 3     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
ApplePic.cpp                                 240                75    68.75%          20                 2    90.00%         280                61    78.21%         242                84    65.29%
ApplePic.h                                    14                 7    50.00%          10                 5    50.00%          18                13    27.78%           4                 3    25.00%
Ariel.h                                       18                18     0.00%           5                 5     0.00%          31                31     0.00%          22                22     0.00%
Asc.cpp                                      657               649     1.22%          24                23     4.17%         723               702     2.90%         628               618     1.59%
Asc.h                                         66                61     7.58%          37                34     8.11%         112               104     7.14%          24                23     4.17%
AtalkHub.h                                    80                80     0.00%          15                15     0.00%         113               113     0.00%          64                64     0.00%
AtalkStack.cpp                               359               359     0.00%          24                24     0.00%         446               446     0.00%         282               282     0.00%
AtalkStack.h                                  11                11     0.00%          11                11     0.00%          17                17     0.00%           0                 0         -
AtomicReplace.h                                1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
CentrisCpu.cpp                                43                43     0.00%          10                10     0.00%          70                70     0.00%          26                26     0.00%
CentrisCpu.h                                   3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
CentrisMemory.cpp                            513               513     0.00%          42                42     0.00%         586               586     0.00%         388               388     0.00%
CentrisMemory.h                               60                60     0.00%          53                53     0.00%          97                97     0.00%           6                 6     0.00%
CoreConfig.h                                   1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
Cpu020.cpp                                    47                47     0.00%          10                10     0.00%          61                61     0.00%          32                32     0.00%
Cpu020.h                                       3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
Cpu030.cpp                                   164               164     0.00%          17                17     0.00%         217               217     0.00%         116               116     0.00%
Cpu030.h                                      10                10     0.00%           9                 9     0.00%          26                26     0.00%           0                 0         -
Cpu040.cpp                                    70                70     0.00%          14                14     0.00%         118               118     0.00%          46                46     0.00%
Cpu040.h                                       3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
Cpu68k.cpp                                    46                46     0.00%          13                13     0.00%          54                54     0.00%          26                26     0.00%
Cpu68k.h                                      21                21     0.00%           8                 8     0.00%          26                26     0.00%          10                10     0.00%
CudaLle.cpp                                  209               198     5.26%          17                13    23.53%         228               188    17.54%         164               161     1.83%
CudaLle.h                                      8                 6    25.00%           8                 6    25.00%          19                14    26.32%           0                 0         -
Dafb.cpp                                     254               214    15.75%          14                10    28.57%         318               246    22.64%         296               201    32.09%
Dafb.h                                        26                17    34.62%          22                17    22.73%          38                32    15.79%           0                 0         -
DaynaPort.cpp                                163               163     0.00%           6                 6     0.00%         171               171     0.00%         144               144     0.00%
DaynaPort.h                                    6                 6     0.00%           6                 6     0.00%           6                 6     0.00%           0                 0         -
DeclRom.cpp                                   99                56    43.43%          21                 4    80.95%         210                59    71.90%          66                50    24.24%
DiskBays.cpp                                 361               361     0.00%          22                22     0.00%         389               389     0.00%         316               316     0.00%
DiskBays.h                                    16                16     0.00%           1                 1     0.00%          13                13     0.00%          12                12     0.00%
DockLayout.cpp                                39                39     0.00%           5                 5     0.00%          59                59     0.00%          30                30     0.00%
Egret.cpp                                    361               345     4.43%          15                12    20.00%         431               384    10.90%         316               312     1.27%
Egret.h                                       13                10    23.08%          10                 7    30.00%          21                15    28.57%           2                 2     0.00%
EtherLink.cpp                                 74                74     0.00%          11                11     0.00%          81                81     0.00%          50                50     0.00%
EtherLink.h                                    5                 5     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
FirmwareChoice.h                              49                24    51.02%           5                 2    60.00%          82                46    43.90%          32                20    37.50%
FirmwareManifest.h                            51                51     0.00%           6                 6     0.00%          74                74     0.00%          36                36     0.00%
FixtureStore.h                                34                31     8.82%           3                 2    33.33%          55                49    10.91%          26                25     3.85%
FloppySound.cpp                              227               227     0.00%          13                13     0.00%         272               272     0.00%         184               184     0.00%
FloppySound.h                                 12                12     0.00%          10                10     0.00%          10                10     0.00%           2                 2     0.00%
FloppySoundSink.h                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
FluxPll.h                                     47                47     0.00%          14                14     0.00%          55                55     0.00%          24                24     0.00%
GuiHostServices.cpp                           57                57     0.00%          10                10     0.00%         129               129     0.00%          34                34     0.00%
GuiHostServices.h                            119               119     0.00%          18                18     0.00%         169               169     0.00%          92                92     0.00%
GuiMachineRuntime.cpp                          2                 2     0.00%           2                 2     0.00%          10                10     0.00%           0                 0         -
GuiRunnerCompact.h                            63                63     0.00%          12                12     0.00%         303               303     0.00%          36                36     0.00%
GuiRunnerDafb.h                              136               136     0.00%          15                15     0.00%         424               424     0.00%          94                94     0.00%
GuiRunnerDuo.h                                94                94     0.00%           9                 9     0.00%         306               306     0.00%          62                62     0.00%
GuiRunnerSonora.h                            134               134     0.00%          16                16     0.00%         392               392     0.00%          92                92     0.00%
