Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AdbBus.cpp                                    61                60     1.64%           6                 5    16.67%          66                59    10.61%          42                42     0.00%
AdbBus.h                                      12                12     0.00%           6                 6     0.00%           8                 8     0.00%          10                10     0.00%
AdbLine.cpp                                  309                90    70.87%          13                 3    76.92%         312                82    73.72%         306               113    63.07%
AdbLine.h                                     23                12    47.83%          16                11    31.25%          28                18    35.71%           8                 2    75.00%
AdbVia.cpp                                   174               111    36.21%          17                 3    82.35%         243               118    51.44%         132               102    22.73%
AdbVia.h                                       8                 5    37.50%           7                 4    42.86%          28                18    35.71%           0                 0         -
AfpServer.cpp                                779               779     0.00%          38                38     0.00%         991               991     0.00%         716               716     0.00%
AfpServer.h                                    3                 3     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
ApplePic.cpp                                 240                55    77.08%          20                 1    95.00%         280                50    82.14%         242                82    66.12%
ApplePic.h                                    14                13     7.14%          10                 9    10.00%          18                17     5.56%           4                 4     0.00%
Ariel.h                                       18                 6    66.67%           5                 1    80.00%          31                 8    74.19%          22                 5    77.27%
Asc.cpp                                      657                92    86.00%          24                 0   100.00%         723                74    89.76%         628               150    76.11%
Asc.h                                         66                35    46.97%          37                23    37.84%         112                73    34.82%          24                11    54.17%
AtalkHub.h                                    80                80     0.00%          15                15     0.00%         113               113     0.00%          64                64     0.00%
AtalkStack.cpp                               359               359     0.00%          24                24     0.00%         446               446     0.00%         282               282     0.00%
AtalkStack.h                                  11                11     0.00%          11                11     0.00%          17                17     0.00%           0                 0         -
AtomicReplace.h                                1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
CentrisCpu.cpp                                43                13    69.77%          10                 1    90.00%          70                 9    87.14%          26                11    57.69%
CentrisCpu.h                                   3                 1    66.67%           3                 1    66.67%           6                 4    33.33%           0                 0         -
CentrisMemory.cpp                            513                68    86.74%          42                 4    90.48%         586                48    91.81%         388                87    77.58%
CentrisMemory.h                               64                47    26.56%          53                42    20.75%          97                82    15.46%          10                 7    30.00%
CoreConfig.h                                   1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
Cpu020.cpp                                    47                11    76.60%          10                 0   100.00%          61                 5    91.80%          32                11    65.62%
Cpu020.h                                       3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
Cpu030.cpp                                   164                97    40.85%          17                 3    82.35%         217               123    43.32%         116                80    31.03%
Cpu030.h                                      10                 9    10.00%           9                 8    11.11%          26                23    11.54%           0                 0         -
Cpu040.cpp                                    70                30    57.14%          14                 2    85.71%         118                39    66.95%          46                24    47.83%
