router up: LToUDP only, zone POM68K
2026-09-18 19:53:03,760 INFO: starting LtoudpPort...
2026-09-18 19:53:03,760 INFO: LToUDP assigned network number 1
2026-09-18 19:53:03,760 INFO: all ports started!
2026-09-18 19:53:03,760 INFO: starting EchoService...
2026-09-18 19:53:03,761 INFO: starting NameInformationService...
2026-09-18 19:53:03,761 INFO: starting RoutingTableAgingService...
2026-09-18 19:53:03,761 INFO: starting RtmpRespondingService...
2026-09-18 19:53:03,761 INFO: starting RtmpSendingService...
2026-09-18 19:53:03,761 INFO: starting ZipRespondingService...
2026-09-18 19:53:03,761 INFO: starting ZipSendingService...
2026-09-18 19:53:03,761 INFO: all services started!
2026-09-18 19:53:06,013 INFO: LToUDP claiming node address 254
2026-09-18 19:59:37,654 INFO: stopping EchoService...
2026-09-18 19:59:37,655 INFO: stopping NameInformationService...
2026-09-18 19:59:37,655 INFO: stopping RoutingTableAgingService...
2026-09-18 19:59:37,655 INFO: stopping RtmpRespondingService...
2026-09-18 19:59:37,655 INFO: stopping RtmpSendingService...
2026-09-18 19:59:37,655 INFO: stopping ZipRespondingService...
2026-09-18 19:59:37,655 INFO: stopping ZipSendingService...
2026-09-18 19:59:37,655 INFO: all services stopped!
2026-09-18 19:59:37,655 INFO: stopping LtoudpPort...
2026-09-18 19:59:37,782 INFO: all ports stopped!
