sniffing 239.192.76.84:1954 for 60s
23:25:28 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:28 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:28 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:29 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:29 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:29 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:30 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:30 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:30 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:31 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:31 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:31 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:32 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:32 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:32 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:33 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:33 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:33 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:34 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:34 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:34 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:35 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:35 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:35 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:36 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:36 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:36 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:37 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:37 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:37 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:38 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:38 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:38 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:39 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:39 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:39 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:39 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:39 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:39 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:40 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:40 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:40 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:41 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:41 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:41 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:42 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:42 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:42 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:43 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:43 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:43 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:44 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:44 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:44 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:45 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:45 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:45 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:46 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:46 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:46 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:47 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:47 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:47 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:48 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:48 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:48 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:49 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:49 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:49 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:50 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:50 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:50 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:51 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
