sniffing 239.192.76.84:1954 for 50s
23:32:33 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:33 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:33 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:34 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:32:34 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:32:34 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:32:34 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:35 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:32:35 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:32:35 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:32:35 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:36 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:32:36 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:32:36 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:32:36 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:37 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:32:37 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:32:37 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:32:37 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:38 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:38 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:38 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:39 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:39 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:39 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:40 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:40 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:40 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:41 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:41 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:41 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:42 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:42 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:42 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:43 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:43 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:43 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:44 tag=43D4D32C 25->128 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 2.25:254
23:32:44 tag=8BF64E50 128->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 2.25:254
23:32:44 tag=8BF64E50 128->25 [local] NBP sock 2->254 LkUp-Reply x1 | POMTEST:AFPServer@POM68K at 2.128:132
23:32:45 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
51 datagrams seen
